variant,frame_id,visibility,expected_nostrils,predicted_points,correct_points,missed_nostrils,extra_or_off_target_points,no_prediction_on_visible_frame,no_correct_point_on_visible_frame
baseline,R3-01_t00,two_visible,2,0,0,2,0,True,True
baseline,R3-01_t10,one_visible,1,0,0,1,0,True,True
baseline,R3-01_t20,one_visible,1,0,0,1,0,True,True
baseline,R3-02_t00,two_visible,2,1,1,1,0,False,False
baseline,R3-02_t10,two_visible,2,2,2,0,0,False,False
baseline,R3-02_t20,two_visible,2,2,2,0,0,False,False
baseline,R3-03_t00,one_visible,1,1,1,0,0,False,False
baseline,R3-03_t10,not_visible,0,0,0,0,0,False,False
baseline,R3-03_t20,two_visible,2,0,0,2,0,True,True
baseline,R3-05_t00,two_visible,2,0,0,2,0,True,True
baseline,R3-05_t10,one_visible,1,1,1,0,0,False,False
baseline,R3-05_t20,one_visible,1,0,0,1,0,True,True
baseline,R3-06_t00,two_visible,2,2,1,1,1,False,False
baseline,R3-06_t10,two_visible,2,0,0,2,0,True,True
baseline,R3-06_t20,one_visible,1,0,0,1,0,True,True
baseline,R3-09_t00,two_visible,2,1,0,2,1,False,True
baseline,R3-09_t10,two_visible,2,0,0,2,0,True,True
baseline,R3-09_t20,two_visible,2,2,1,1,1,False,False
baseline,R3-10_t00,two_visible,2,2,2,0,0,False,False
baseline,R3-10_t10,not_visible,0,0,0,0,0,False,False
baseline,R3-10_t20,two_visible,2,2,2,0,0,False,False
baseline,R3-11_t00,two_visible,2,0,0,2,0,True,True
baseline,R3-11_t10,not_visible,0,0,0,0,0,False,False
baseline,R3-11_t20,not_visible,0,1,0,0,1,False,False
baseline,R3-14_t00,two_visible,2,0,0,2,0,True,True
baseline,R3-14_t10,two_visible,2,1,0,2,1,False,True
baseline,R3-14_t20,two_visible,2,2,1,1,1,False,False
baseline,R3-22_t00,not_visible,0,0,0,0,0,False,False
baseline,R3-22_t10,one_visible,1,0,0,1,0,True,True
baseline,R3-22_t20,two_visible,2,1,0,2,1,False,True
baseline,R3-23_t00,two_visible,2,1,1,1,0,False,False
baseline,R3-23_t10,not_visible,0,0,0,0,0,False,False
baseline,R3-23_t20,one_visible,1,1,1,0,0,False,False
baseline,R3-24_t00,one_visible,1,1,0,1,1,False,True
baseline,R3-24_t10,two_visible,2,2,1,1,1,False,False
baseline,R3-24_t20,one_visible,1,1,1,0,0,False,False
center75,R3-01_t00,two_visible,2,0,0,2,0,True,True
center75,R3-01_t10,one_visible,1,0,0,1,0,True,True
center75,R3-01_t20,one_visible,1,0,0,1,0,True,True
center75,R3-02_t00,two_visible,2,1,1,1,0,False,False
center75,R3-02_t10,two_visible,2,2,2,0,0,False,False
center75,R3-02_t20,two_visible,2,2,2,0,0,False,False
center75,R3-03_t00,one_visible,1,1,1,0,0,False,False
center75,R3-03_t10,not_visible,0,0,0,0,0,False,False
center75,R3-03_t20,two_visible,2,0,0,2,0,True,True
center75,R3-05_t00,two_visible,2,0,0,2,0,True,True
center75,R3-05_t10,one_visible,1,0,0,1,0,True,True
center75,R3-05_t20,one_visible,1,0,0,1,0,True,True
center75,R3-06_t00,two_visible,2,2,1,1,1,False,False
center75,R3-06_t10,two_visible,2,2,0,2,2,False,True
center75,R3-06_t20,one_visible,1,0,0,1,0,True,True
