frame_index,frame_name,left_norm,right_norm,fused_norm,smoothed_norm,is_peak,selected_mode
0,ns5364_frame_000000.jpg,0.9910482215370799,,0.9910482215370799,,False,framewise_max
1,ns5364_frame_000001.jpg,0.9995743240112016,,0.9995743240112016,0.992971234234326,False,framewise_max
2,ns5364_frame_000002.jpg,0.9882911571546963,,0.9882911571546963,0.9921160031753846,False,framewise_max
3,ns5364_frame_000003.jpg,0.9884825283602563,,0.9884825283602563,0.9804756784885551,False,framewise_max
4,ns5364_frame_000004.jpg,0.9646533499507131,,0.9646533499507131,0.9694151070806686,False,framewise_max
5,ns5364_frame_000005.jpg,0.9551094429310366,,0.9551094429310366,0.967705209069719,False,framewise_max
6,ns5364_frame_000006.jpg,0.9833528343274078,,0.9833528343274078,0.9747539533520334,False,framewise_max
7,ns5364_frame_000007.jpg,0.9857995827976561,,0.9857995827976561,0.9819333069602896,False,framewise_max
8,ns5364_frame_000008.jpg,0.976647503755805,,0.976647503755805,0.9802867172025369,False,framewise_max
9,ns5364_frame_000009.jpg,0.9784130650541499,,0.9784130650541499,0.977690294149463,False,framewise_max
10,ns5364_frame_000010.jpg,0.9780103136384342,,0.9780103136384342,0.9786930190432481,False,framewise_max
11,ns5364_frame_000011.jpg,0.9796556784371602,,0.9796556784371602,0.9794965478024508,False,framewise_max
12,ns5364_frame_000012.jpg,0.980823651331758,,0.980823651331758,0.978308115662874,False,framewise_max
13,ns5364_frame_000013.jpg,0.974445017219704,,0.974445017219704,0.9758300305637306,False,framewise_max
14,ns5364_frame_000014.jpg,0.9722214231397299,,0.9722214231397299,0.9755488199360514,False,framewise_max
15,ns5364_frame_000015.jpg,0.9799800194487207,,0.9799800194487207,0.9774084564041067,False,framewise_max
16,ns5364_frame_000016.jpg,0.9800239266238696,,0.9800239266238696,0.9848116799251964,False,framewise_max
17,ns5364_frame_000017.jpg,0.9944310937029991,,0.9944310937029991,0.9868038765467742,False,framewise_max
18,ns5364_frame_000018.jpg,0.9859566093134541,,0.9859566093134541,0.9893052000098258,False,framewise_max
19,ns5364_frame_000019.jpg,0.9875278970130245,,0.9875278970130245,0.9868996364502863,False,framewise_max
20,ns5364_frame_000020.jpg,0.9872144030243807,,0.9872144030243807,0.9866838661425326,False,framewise_max
21,ns5364_frame_000021.jpg,0.9853092983901925,,0.9853092983901925,0.9863741164606727,False,framewise_max
22,ns5364_frame_000022.jpg,0.9865986479674451,,0.9865986479674451,0.9840900999488178,False,framewise_max
23,ns5364_frame_000023.jpg,0.9803623534888158,,0.9803623534888158,0.9850448448637237,False,framewise_max
24,ns5364_frame_000024.jpg,0.9881735331349101,,0.9881735331349101,0.983570429508471,False,framewise_max
25,ns5364_frame_000025.jpg,0.9821754019016873,,0.9821754019016873,0.9858631212135552,False,framewise_max
26,ns5364_frame_000026.jpg,0.9872404286040687,,0.9872404286040687,0.9865016099854644,False,framewise_max
27,ns5364_frame_000027.jpg,0.9900889994506374,,0.9900889994506374,0.9891191839783782,False,framewise_max
28,ns5364_frame_000028.jpg,0.9900281238804285,,0.9900281238804285,0.9884421609282859,False,framewise_max
29,ns5364_frame_000029.jpg,0.985209359453792,,0.985209359453792,0.9867032238520643,False,framewise_max
30,ns5364_frame_000030.jpg,0.9848721882219729,,0.9848721882219729,0.9828806045960523,False,framewise_max
31,ns5364_frame_000031.jpg,0.978560266112392,,0.978560266112392,0.981794287123943,False,framewise_max
32,ns5364_frame_000032.jpg,0.9819504070374642,,0.9819504070374642,0.9798583857705369,False,framewise_max
33,ns5364_frame_000033.jpg,0.9790644841617544,,0.9790644841617544,0.9810138396350148,False,framewise_max
34,ns5364_frame_000034.jpg,0.9820266277058256,,0.9820266277058256,0.9827556184405722,False,framewise_max
35,ns5364_frame_000035.jpg,0.9871757434541371,,0.9871757434541371,0.9860006102957799,False,framewise_max
36,ns5364_frame_000036.jpg,0.9887994597273773,,0.9887994597273773,0.9877002177332455,False,framewise_max
37,ns5364_frame_000037.jpg,0.9871254500182222,,0.9871254500182222,0.9873766233869008,False,framewise_max
38,ns5364_frame_000038.jpg,0.9862049604151033,,0.9862049604151033,0.9865117902828096,False,framewise_max
39,ns5364_frame_000039.jpg,0.9862049604151033,,0.9862049604151033,0.9861649571284608,False,framewise_max
40,ns5364_frame_000040.jpg,0.9860849505551759,,0.9860849505551759,0.9827823960288073,False,framewise_max
41,ns5364_frame_000041.jpg,0.9760572771161431,,0.9760572771161431,0.9751139163891942,False,framewise_max
42,ns5364_frame_000042.jpg,0.963199521496264,,0.963199521496264,0.9717632660293614,False,framewise_max
43,ns5364_frame_000043.jpg,0.9760329994756772,,0.9760329994756772,0.9712234925439487,False,framewise_max
44,ns5364_frame_000044.jpg,0.9744379566599052,,0.9744379566599052,0.9767125902080741,False,framewise_max
45,ns5364_frame_000045.jpg,0.9796668144886401,,0.9796668144886401,0.9816976742385763,False,framewise_max
46,ns5364_frame_000046.jpg,0.9909882515671838,,0.9909882515671838,0.987329631726257,False,framewise_max
47,ns5364_frame_000047.jpg,0.991333829122947,,0.991333829122947,0.9937556505055269,False,framewise_max
48,ns5364_frame_000048.jpg,0.9989448708264499,,0.9989448708264499,0.9916201312543097,False,framewise_max
49,ns5364_frame_000049.jpg,0.9845816938135324,,0.9845816938135324,0.9868488707891525,False,framewise_max
50,ns5364_frame_000050.jpg,0.9770200477274751,,0.9770200477274751,0.9797591244219137,False,framewise_max
51,ns5364_frame_000051.jpg,0.9776756317247338,,0.9776756317247338,0.9688545246395301,False,framewise_max
52,ns5364_frame_000052.jpg,0.9518678944663816,,0.9518678944663816,0.9751503739430942,False,framewise_max
53,ns5364_frame_000053.jpg,0.9959075956381674,,0.9959075956381674,0.981188100006058,False,framewise_max
54,ns5364_frame_000054.jpg,0.9957888099136254,,0.9957888099136254,0.9965406725150082,False,framewise_max
