frame_id,status,reason,preserved_points,instances
170333_frame_000015,valid_geometry_only,,2,1.0
170333_frame_000018,valid_geometry_only,,2,1.0
170333_frame_000021,valid_geometry_only,,2,1.0
170333_frame_000024,valid_geometry_only,,2,1.0
170333_frame_000027,valid_geometry_only,,1,1.0
170333_frame_000030,valid_geometry_only,,2,1.0
170333_frame_000033,valid_geometry_only,,2,1.0
170333_frame_000036,valid_geometry_only,,1,1.0
170333_frame_000039,valid_geometry_only,,2,1.0
170333_frame_000042,valid_geometry_only,,2,1.0
170333_frame_000045,valid_geometry_only,,2,1.0
170333_frame_000048,valid_geometry_only,,2,1.0
170333_frame_000051,valid_geometry_only,,2,1.0
170333_frame_000054,valid_geometry_only,,2,1.0
170333_frame_000057,valid_geometry_only,,1,1.0
170333_frame_000060,valid_geometry_only,,2,1.0
170333_frame_000063,valid_geometry_only,,2,1.0
170333_frame_000066,valid_geometry_only,,2,1.0
170333_frame_000069,valid_geometry_only,,2,1.0
170333_frame_000072,valid_geometry_only,,2,1.0
170333_frame_000075,valid_geometry_only,,2,1.0
170333_frame_000078,valid_geometry_only,,2,1.0
170333_frame_000081,valid_geometry_only,,2,1.0
170333_frame_000084,valid_geometry_only,,2,1.0
170333_frame_000087,valid_geometry_only,,2,1.0
170334_frame_000000,valid_geometry_only,,2,1.0
170334_frame_000003,valid_geometry_only,,2,1.0
170334_frame_000006,valid_geometry_only,,2,1.0
170334_frame_000009,valid_geometry_only,,2,1.0
170334_frame_000012,valid_geometry_only,,2,1.0
170334_frame_000015,valid_geometry_only,,2,1.0
170334_frame_000018,valid_geometry_only,,2,1.0
170334_frame_000021,valid_geometry_only,,2,1.0
170334_frame_000024,valid_geometry_only,,2,1.0
170334_frame_000027,valid_geometry_only,,2,1.0
170334_frame_000030,valid_geometry_only,,2,1.0
170334_frame_000033,valid_geometry_only,,2,1.0
170334_frame_000036,valid_geometry_only,,2,1.0
170334_frame_000039,valid_geometry_only,,2,1.0
170334_frame_000042,valid_geometry_only,,2,1.0
170334_frame_000045,valid_geometry_only,,2,1.0
170334_frame_000048,valid_geometry_only,,2,1.0
170334_frame_000051,valid_geometry_only,,2,1.0
170334_frame_000054,valid_geometry_only,,2,1.0
170334_frame_000057,valid_geometry_only,,2,1.0
170334_frame_000060,valid_geometry_only,,2,1.0
170334_frame_000063,valid_geometry_only,,2,1.0
170334_frame_000066,valid_geometry_only,,2,1.0
170334_frame_000069,valid_geometry_only,,2,1.0
170334_frame_000072,valid_geometry_only,,2,1.0
170334_frame_000075,valid_geometry_only,,2,1.0
170334_frame_000078,valid_geometry_only,,2,1.0
170334_frame_000081,valid_geometry_only,,2,1.0
170334_frame_000084,valid_geometry_only,,2,1.0
170334_frame_000087,valid_geometry_only,,2,1.0
170334_frame_000090,valid_geometry_only,,2,1.0
170334_frame_000093,valid_geometry_only,,2,1.0
170334_frame_000096,valid_geometry_only,,2,1.0
170334_frame_000099,valid_geometry_only,,2,1.0
170334_frame_000102,valid_geometry_only,,2,1.0
170334_frame_000105,valid_geometry_only,,2,1.0
170334_frame_000108,valid_geometry_only,,2,1.0
170334_frame_000111,valid_geometry_only,,2,1.0
170334_frame_000114,valid_geometry_only,,2,1.0
170334_frame_000117,valid_geometry_only,,2,1.0
170334_frame_000120,valid_geometry_only,,2,1.0
170334_frame_000123,valid_geometry_only,,2,1.0
170334_frame_000126,valid_geometry_only,,2,1.0
170334_frame_000129,valid_geometry_only,,2,1.0
170334_frame_000132,valid_geometry_only,,2,1.0
170334_frame_000135,valid_geometry_only,,2,1.0
170334_frame_000138,valid_geometry_only,,2,1.0
177395_frame_000000,valid_geometry_only,,1,1.0
177395_frame_000003,valid_geometry_only,,1,1.0
177395_frame_000006,valid_geometry_only,,1,1.0
177395_frame_000009,valid_geometry_only,,1,1.0
177395_frame_000012,valid_geometry_only,,2,1.0
177395_frame_000015,valid_geometry_only,,2,1.0
177395_frame_000018,valid_geometry_only,,2,1.0
177395_frame_000021,valid_geometry_only,,2,1.0
177395_frame_000024,valid_geometry_only,,2,1.0
177395_frame_000027,valid_geometry_only,,2,1.0
177395_frame_000030,valid_geometry_only,,2,1.0
177395_frame_000033,valid_geometry_only,,2,1.0
177395_frame_000036,valid_geometry_only,,2,1.0
177395_frame_000039,valid_geometry_only,,2,1.0
177395_frame_000042,valid_geometry_only,,2,1.0
177395_frame_000045,valid_geometry_only,,2,1.0
177395_frame_000048,valid_geometry_only,,2,1.0
177395_frame_000051,valid_geometry_only,,2,1.0
177395_frame_000054,valid_geometry_only,,2,1.0
177395_frame_000057,valid_geometry_only,,2,1.0
177395_frame_000060,valid_geometry_only,,2,1.0
177395_frame_000063,valid_geometry_only,,2,1.0
177395_frame_000066,valid_geometry_only,,2,1.0
177395_frame_000069,valid_geometry_only,,2,1.0
190546_frame_000000,valid_geometry_only,,2,1.0
190546_frame_000003,valid_geometry_only,,2,1.0
190546_frame_000006,valid_geometry_only,,2,1.0
190546_frame_000009,valid_geometry_only,,2,1.0
190546_frame_000012,valid_geometry_only,,2,1.0
190546_frame_000015,valid_geometry_only,,2,1.0
190546_frame_000018,valid_geometry_only,,2,1.0
190546_frame_000021,valid_geometry_only,,2,1.0
190546_frame_000024,valid_geometry_only,,2,1.0
190546_frame_000027,valid_geometry_only,,2,1.0
190546_frame_000030,valid_geometry_only,,2,1.0
190546_frame_000033,valid_geometry_only,,2,1.0
190546_frame_000036,valid_geometry_only,,2,1.0
190546_frame_000039,valid_geometry_only,,2,1.0
190546_frame_000042,valid_geometry_only,,2,1.0
190546_frame_000045,valid_geometry_only,,2,1.0
190546_frame_000048,valid_geometry_only,,1,1.0
190546_frame_000051,valid_geometry_only,,1,1.0
190546_frame_000054,valid_geometry_only,,1,1.0
190546_frame_000057,valid_geometry_only,,1,1.0
190546_frame_000060,valid_geometry_only,,2,1.0
190546_frame_000063,valid_geometry_only,,2,1.0
190546_frame_000066,valid_geometry_only,,2,1.0
190546_frame_000069,valid_geometry_only,,2,1.0
190546_frame_000072,valid_geometry_only,,2,1.0
190546_frame_000075,valid_geometry_only,,2,1.0
190546_frame_000078,valid_geometry_only,,2,1.0
190546_frame_000081,valid_geometry_only,,2,1.0
190546_frame_000084,valid_geometry_only,,2,1.0
190546_frame_000087,valid_geometry_only,,2,1.0
190546_frame_000090,valid_geometry_only,,2,1.0
190546_frame_000093,valid_geometry_only,,2,1.0
190546_frame_000096,valid_geometry_only,,2,1.0
190546_frame_000099,valid_geometry_only,,2,1.0
190546_frame_000102,valid_geometry_only,,2,1.0
190546_frame_000105,valid_geometry_only,,2,1.0
190588_frame_000000,valid_geometry_only,,2,1.0
190588_frame_000003,valid_geometry_only,,2,1.0
190588_frame_000006,valid_geometry_only,,2,1.0
190588_frame_000009,valid_geometry_only,,2,1.0
190588_frame_000012,valid_geometry_only,,2,1.0
190588_frame_000015,valid_geometry_only,,2,1.0
190588_frame_000018,valid_geometry_only,,2,1.0
190588_frame_000021,valid_geometry_only,,2,1.0
190588_frame_000024,valid_geometry_only,,2,1.0
190588_frame_000027,valid_geometry_only,,2,1.0
190588_frame_000030,valid_geometry_only,,2,1.0
190588_frame_000033,valid_geometry_only,,2,1.0
190588_frame_000036,valid_geometry_only,,2,1.0
190588_frame_000039,valid_geometry_only,,2,1.0
190588_frame_000042,valid_geometry_only,,2,1.0
190588_frame_000045,valid_geometry_only,,2,1.0
190588_frame_000048,valid_geometry_only,,2,1.0
190588_frame_000051,valid_geometry_only,,2,1.0
190588_frame_000054,valid_geometry_only,,2,1.0
190588_frame_000057,valid_geometry_only,,2,1.0
190588_frame_000060,valid_geometry_only,,2,1.0
190588_frame_000063,valid_geometry_only,,2,1.0
190588_frame_000066,valid_geometry_only,,2,1.0
190588_frame_000069,valid_geometry_only,,2,1.0
190588_frame_000072,valid_geometry_only,,2,1.0
190588_frame_000075,valid_geometry_only,,2,1.0
190588_frame_000078,valid_geometry_only,,2,1.0
190588_frame_000081,valid_geometry_only,,2,1.0
190588_frame_000084,valid_geometry_only,,2,1.0
190588_frame_000087,valid_geometry_only,,2,1.0
190588_frame_000090,valid_geometry_only,,2,1.0
190588_frame_000093,valid_geometry_only,,2,1.0
190588_frame_000096,valid_geometry_only,,2,1.0
196434_frame_000000,valid_geometry_only,,2,1.0
196434_frame_000003,valid_geometry_only,,2,1.0
196434_frame_000006,valid_geometry_only,,2,1.0
196434_frame_000009,valid_geometry_only,,2,1.0
196434_frame_000012,valid_geometry_only,,2,1.0
196434_frame_000015,valid_geometry_only,,2,1.0
196434_frame_000018,valid_geometry_only,,2,1.0
196434_frame_000021,valid_geometry_only,,2,1.0
196434_frame_000024,valid_geometry_only,,2,1.0
196434_frame_000027,valid_geometry_only,,2,1.0
196434_frame_000030,valid_geometry_only,,2,1.0
196434_frame_000033,valid_geometry_only,,2,1.0
196434_frame_000036,valid_geometry_only,,2,1.0
196434_frame_000039,valid_geometry_only,,2,1.0
196434_frame_000042,valid_geometry_only,,2,1.0
196434_frame_000045,valid_geometry_only,,2,1.0
196434_frame_000048,valid_geometry_only,,2,1.0
196434_frame_000051,valid_geometry_only,,2,1.0
196434_frame_000054,valid_geometry_only,,2,1.0
196434_frame_000057,valid_geometry_only,,2,1.0
196434_frame_000060,valid_geometry_only,,2,1.0
196434_frame_000063,valid_geometry_only,,2,1.0
196434_frame_000066,valid_geometry_only,,2,1.0
196434_frame_000069,valid_geometry_only,,2,1.0
196434_frame_000072,valid_geometry_only,,2,1.0
196434_frame_000075,valid_geometry_only,,2,1.0
196434_frame_000078,valid_geometry_only,,2,1.0
196434_frame_000081,valid_geometry_only,,2,1.0
196434_frame_000084,valid_geometry_only,,2,1.0
196434_frame_000087,valid_geometry_only,,2,1.0
196434_frame_000090,valid_geometry_only,,2,1.0
196434_frame_000093,valid_geometry_only,,2,1.0
196434_frame_000096,valid_geometry_only,,2,1.0
196434_frame_000099,valid_geometry_only,,2,1.0
196434_frame_000102,valid_geometry_only,,2,1.0
196434_frame_000105,valid_geometry_only,,2,1.0
196434_frame_000108,valid_geometry_only,,2,1.0
196434_frame_000111,valid_geometry_only,,2,1.0
196434_frame_000114,valid_geometry_only,,2,1.0
196434_frame_000117,valid_geometry_only,,2,1.0
196434_frame_000120,valid_geometry_only,,2,1.0
196434_frame_000123,valid_geometry_only,,2,1.0
196434_frame_000126,valid_geometry_only,,2,1.0
196434_frame_000129,valid_geometry_only,,2,1.0
200653_frame_000000,valid_geometry_only,,2,1.0
200653_frame_000003,valid_geometry_only,,2,1.0
200653_frame_000006,valid_geometry_only,,2,1.0
200653_frame_000009,valid_geometry_only,,2,1.0
200653_frame_000012,valid_geometry_only,,2,1.0
200653_frame_000015,valid_geometry_only,,2,1.0
200653_frame_000018,valid_geometry_only,,2,1.0
200653_frame_000021,valid_geometry_only,,2,1.0
200653_frame_000024,valid_geometry_only,,2,1.0
200653_frame_000027,valid_geometry_only,,2,1.0
200653_frame_000030,valid_geometry_only,,2,1.0
200653_frame_000033,valid_geometry_only,,2,1.0
200653_frame_000036,valid_geometry_only,,2,1.0
200653_frame_000039,valid_geometry_only,,2,1.0
200653_frame_000042,valid_geometry_only,,2,1.0
200653_frame_000045,valid_geometry_only,,2,1.0
200653_frame_000048,valid_geometry_only,,2,1.0
200653_frame_000051,valid_geometry_only,,2,1.0
200653_frame_000054,valid_geometry_only,,2,1.0
200653_frame_000057,valid_geometry_only,,2,1.0
200653_frame_000060,valid_geometry_only,,2,1.0
200653_frame_000063,valid_geometry_only,,2,1.0
200653_frame_000066,valid_geometry_only,,2,1.0
200653_frame_000069,valid_geometry_only,,2,1.0
200653_frame_000072,valid_geometry_only,,2,1.0
200653_frame_000075,valid_geometry_only,,2,1.0
200653_frame_000078,valid_geometry_only,,2,1.0
200653_frame_000081,valid_geometry_only,,2,1.0
200653_frame_000084,valid_geometry_only,,2,1.0
200653_frame_000087,valid_geometry_only,,2,1.0
200653_frame_000090,valid_geometry_only,,2,1.0
200653_frame_000093,valid_geometry_only,,2,1.0
200653_frame_000096,valid_geometry_only,,2,1.0
200653_frame_000099,valid_geometry_only,,2,1.0
200653_frame_000102,valid_geometry_only,,2,1.0
200653_frame_000105,valid_geometry_only,,2,1.0
200653_frame_000108,valid_geometry_only,,2,1.0
200653_frame_000111,valid_geometry_only,,2,1.0
200713_frame_000000,valid_geometry_only,,0,1.0
200713_frame_000003,valid_geometry_only,,0,0.0
200713_frame_000006,valid_geometry_only,,1,1.0
200713_frame_000009,valid_geometry_only,,1,1.0
200713_frame_000012,valid_geometry_only,,1,1.0
200713_frame_000015,valid_geometry_only,,2,1.0
200713_frame_000018,valid_geometry_only,,2,1.0
200713_frame_000021,valid_geometry_only,,2,1.0
200713_frame_000024,valid_geometry_only,,2,1.0
200713_frame_000027,valid_geometry_only,,2,1.0
200713_frame_000030,valid_geometry_only,,2,1.0
200713_frame_000033,valid_geometry_only,,2,1.0
200713_frame_000036,valid_geometry_only,,2,1.0
200713_frame_000039,valid_geometry_only,,2,1.0
200713_frame_000042,valid_geometry_only,,2,1.0
200713_frame_000045,valid_geometry_only,,2,1.0
200713_frame_000048,valid_geometry_only,,2,1.0
200713_frame_000051,valid_geometry_only,,2,1.0
200713_frame_000054,valid_geometry_only,,2,1.0
200713_frame_000057,valid_geometry_only,,2,1.0
200713_frame_000060,valid_geometry_only,,2,1.0
200713_frame_000063,valid_geometry_only,,2,1.0
200713_frame_000066,valid_geometry_only,,2,1.0
200713_frame_000069,valid_geometry_only,,2,1.0
200713_frame_000072,valid_geometry_only,,2,1.0
200713_frame_000075,valid_geometry_only,,2,1.0
200713_frame_000078,valid_geometry_only,,2,1.0
200713_frame_000081,valid_geometry_only,,2,1.0
200713_frame_000084,valid_geometry_only,,2,1.0
200713_frame_000087,valid_geometry_only,,2,1.0
200713_frame_000090,valid_geometry_only,,2,1.0
200713_frame_000093,valid_geometry_only,,2,1.0
200713_frame_000096,valid_geometry_only,,2,1.0
200713_frame_000099,valid_geometry_only,,2,1.0
200713_frame_000102,valid_geometry_only,,2,1.0
200713_frame_000105,valid_geometry_only,,2,1.0
200713_frame_000108,valid_geometry_only,,2,1.0
200713_frame_000111,valid_geometry_only,,2,1.0
200713_frame_000114,valid_geometry_only,,2,1.0
200713_frame_000117,valid_geometry_only,,2,1.0
200713_frame_000120,valid_geometry_only,,2,1.0
200713_frame_000123,valid_geometry_only,,2,1.0
200713_frame_000126,valid_geometry_only,,2,1.0
200713_frame_000129,valid_geometry_only,,2,1.0
200713_frame_000132,valid_geometry_only,,2,1.0
200713_frame_000135,valid_geometry_only,,2,1.0
200713_frame_000138,valid_geometry_only,,2,1.0
200718_frame_000000,valid_geometry_only,,2,1.0
200718_frame_000003,valid_geometry_only,,2,1.0
200718_frame_000006,valid_geometry_only,,2,1.0
200718_frame_000009,valid_geometry_only,,2,1.0
200718_frame_000012,valid_geometry_only,,2,1.0
200718_frame_000015,valid_geometry_only,,2,1.0
200718_frame_000018,valid_geometry_only,,2,1.0
200718_frame_000021,valid_geometry_only,,2,1.0
200718_frame_000024,valid_geometry_only,,2,1.0
200718_frame_000027,valid_geometry_only,,2,1.0
200718_frame_000030,valid_geometry_only,,2,1.0
200718_frame_000033,valid_geometry_only,,2,1.0
200718_frame_000036,valid_geometry_only,,2,1.0
200718_frame_000039,valid_geometry_only,,2,1.0
200718_frame_000042,valid_geometry_only,,2,1.0
200718_frame_000045,valid_geometry_only,,2,1.0
200718_frame_000048,valid_geometry_only,,2,1.0
200718_frame_000051,valid_geometry_only,,1,1.0
200718_frame_000054,valid_geometry_only,,1,1.0
200718_frame_000057,valid_geometry_only,,1,1.0
200718_frame_000060,valid_geometry_only,,1,1.0
200718_frame_000063,valid_geometry_only,,1,1.0
200718_frame_000066,valid_geometry_only,,1,1.0
200718_frame_000069,valid_geometry_only,,1,1.0
200718_frame_000072,valid_geometry_only,,1,1.0
200718_frame_000075,valid_geometry_only,,1,1.0
200718_frame_000078,valid_geometry_only,,2,1.0
200718_frame_000081,valid_geometry_only,,2,1.0
200718_frame_000084,valid_geometry_only,,2,1.0
200718_frame_000087,valid_geometry_only,,2,1.0
200718_frame_000090,valid_geometry_only,,2,1.0
200718_frame_000093,valid_geometry_only,,2,1.0
200718_frame_000096,valid_geometry_only,,2,1.0
200718_frame_000099,valid_geometry_only,,2,1.0
200718_frame_000102,valid_geometry_only,,2,1.0
200718_frame_000105,valid_geometry_only,,2,1.0
200718_frame_000108,valid_geometry_only,,2,1.0
200718_frame_000111,valid_geometry_only,,2,1.0
200718_frame_000114,valid_geometry_only,,2,1.0
200718_frame_000117,valid_geometry_only,,2,1.0
200718_frame_000120,valid_geometry_only,,2,1.0
200718_frame_000123,valid_geometry_only,,2,1.0
200718_frame_000126,valid_geometry_only,,2,1.0
200718_frame_000129,valid_geometry_only,,2,1.0
200718_frame_000132,valid_geometry_only,,2,1.0
200718_frame_000135,valid_geometry_only,,2,1.0
200718_frame_000138,valid_geometry_only,,2,1.0
200937_frame_000000,valid_geometry_only,,1,1.0
200937_frame_000003,valid_geometry_only,,1,1.0
200937_frame_000006,valid_geometry_only,,1,1.0
200937_frame_000009,valid_geometry_only,,1,1.0
200937_frame_000012,valid_geometry_only,,1,1.0
200937_frame_000015,valid_geometry_only,,1,1.0
200937_frame_000018,valid_geometry_only,,1,1.0
200937_frame_000021,valid_geometry_only,,2,1.0
200937_frame_000024,valid_geometry_only,,2,1.0
200937_frame_000027,valid_geometry_only,,2,1.0
200937_frame_000030,valid_geometry_only,,2,1.0
200937_frame_000033,valid_geometry_only,,2,1.0
200937_frame_000036,valid_geometry_only,,2,1.0
200937_frame_000039,valid_geometry_only,,2,1.0
200937_frame_000042,valid_geometry_only,,2,1.0
200937_frame_000045,valid_geometry_only,,2,1.0
200937_frame_000048,valid_geometry_only,,2,1.0
200937_frame_000051,valid_geometry_only,,2,1.0
200937_frame_000054,valid_geometry_only,,2,1.0
200937_frame_000057,valid_geometry_only,,2,1.0
200937_frame_000060,valid_geometry_only,,2,1.0
200937_frame_000063,valid_geometry_only,,2,1.0
200937_frame_000066,valid_geometry_only,,2,1.0
200937_frame_000069,valid_geometry_only,,2,1.0
200937_frame_000072,valid_geometry_only,,2,1.0
200937_frame_000075,valid_geometry_only,,2,1.0
200937_frame_000078,valid_geometry_only,,2,1.0
200937_frame_000081,valid_geometry_only,,2,1.0
200937_frame_000084,valid_geometry_only,,2,1.0
200937_frame_000087,valid_geometry_only,,2,1.0
200939_frame_000000,valid_geometry_only,,1,1.0
200939_frame_000003,valid_geometry_only,,1,1.0
200939_frame_000006,valid_geometry_only,,1,1.0
200939_frame_000009,valid_geometry_only,,1,1.0
200939_frame_000012,valid_geometry_only,,1,1.0
200939_frame_000015,valid_geometry_only,,1,1.0
200939_frame_000018,valid_geometry_only,,1,1.0
200939_frame_000021,valid_geometry_only,,1,1.0
200939_frame_000024,valid_geometry_only,,1,1.0
200939_frame_000027,valid_geometry_only,,1,1.0
200939_frame_000030,valid_geometry_only,,2,1.0
200939_frame_000033,valid_geometry_only,,2,1.0
200939_frame_000036,valid_geometry_only,,2,1.0
200939_frame_000039,valid_geometry_only,,2,1.0
200939_frame_000042,valid_geometry_only,,2,1.0
200939_frame_000045,valid_geometry_only,,1,1.0
200939_frame_000048,valid_geometry_only,,1,1.0
200939_frame_000051,valid_geometry_only,,1,1.0
200939_frame_000054,valid_geometry_only,,1,1.0
200939_frame_000057,valid_geometry_only,,1,1.0
200939_frame_000060,valid_geometry_only,,1,1.0
200939_frame_000063,valid_geometry_only,,1,1.0
200939_frame_000066,valid_geometry_only,,1,1.0
200939_frame_000069,valid_geometry_only,,1,1.0
210944_frame_000000,valid_geometry_only,,2,1.0
210944_frame_000003,valid_geometry_only,,1,1.0
210944_frame_000006,valid_geometry_only,,1,1.0
210944_frame_000009,valid_geometry_only,,1,1.0
210944_frame_000012,valid_geometry_only,,1,1.0
210944_frame_000015,valid_geometry_only,,1,1.0
210944_frame_000018,valid_geometry_only,,1,1.0
210944_frame_000021,valid_geometry_only,,1,1.0
210944_frame_000024,valid_geometry_only,,1,1.0
210944_frame_000027,valid_geometry_only,,1,1.0
210944_frame_000030,valid_geometry_only,,1,1.0
210944_frame_000033,valid_geometry_only,,1,1.0
210944_frame_000036,valid_geometry_only,,2,1.0
210944_frame_000039,valid_geometry_only,,2,1.0
210944_frame_000042,valid_geometry_only,,2,1.0
210944_frame_000045,valid_geometry_only,,2,1.0
210944_frame_000048,valid_geometry_only,,1,1.0
210944_frame_000051,valid_geometry_only,,1,1.0
210944_frame_000054,valid_geometry_only,,1,1.0
210944_frame_000057,valid_geometry_only,,2,1.0
210944_frame_000060,valid_geometry_only,,2,1.0
210989_frame_000000,valid_geometry_only,,2,1.0
210989_frame_000003,valid_geometry_only,,2,1.0
210989_frame_000006,valid_geometry_only,,2,1.0
210989_frame_000009,valid_geometry_only,,2,1.0
210989_frame_000012,valid_geometry_only,,2,1.0
210989_frame_000015,valid_geometry_only,,2,1.0
210989_frame_000018,valid_geometry_only,,2,1.0
210989_frame_000021,valid_geometry_only,,2,1.0
210989_frame_000024,valid_geometry_only,,2,1.0
210989_frame_000027,valid_geometry_only,,2,1.0
210989_frame_000030,valid_geometry_only,,2,1.0
210989_frame_000033,valid_geometry_only,,2,1.0
210989_frame_000036,valid_geometry_only,,2,1.0
210989_frame_000039,valid_geometry_only,,2,1.0
210989_frame_000042,valid_geometry_only,,2,1.0
210989_frame_000045,valid_geometry_only,,2,1.0
210989_frame_000048,valid_geometry_only,,2,1.0
210989_frame_000051,valid_geometry_only,,2,1.0
210989_frame_000054,valid_geometry_only,,2,1.0
210989_frame_000057,valid_geometry_only,,2,1.0
210989_frame_000060,valid_geometry_only,,2,1.0
210989_frame_000063,valid_geometry_only,,2,1.0
210989_frame_000066,valid_geometry_only,,2,1.0
210989_frame_000069,valid_geometry_only,,2,1.0
210989_frame_000072,valid_geometry_only,,2,1.0
210989_frame_000075,valid_geometry_only,,2,1.0
210989_frame_000078,valid_geometry_only,,2,1.0
210989_frame_000081,valid_geometry_only,,2,1.0
210989_frame_000084,valid_geometry_only,,2,1.0
210989_frame_000087,valid_geometry_only,,2,1.0
210989_frame_000090,valid_geometry_only,,2,1.0
210989_frame_000093,valid_geometry_only,,2,1.0
210989_frame_000096,valid_geometry_only,,2,1.0
210989_frame_000099,valid_geometry_only,,2,1.0
210989_frame_000102,valid_geometry_only,,2,1.0
210989_frame_000105,valid_geometry_only,,2,1.0
210989_frame_000108,valid_geometry_only,,2,1.0
210989_frame_000111,valid_geometry_only,,2,1.0
210989_frame_000114,valid_geometry_only,,2,1.0
210989_frame_000117,valid_geometry_only,,2,1.0
210989_frame_000120,valid_geometry_only,,2,1.0
210989_frame_000123,valid_geometry_only,,2,1.0
210989_frame_000126,valid_geometry_only,,2,1.0
210989_frame_000129,valid_geometry_only,,2,1.0
210989_frame_000132,valid_geometry_only,,2,1.0
210989_frame_000135,valid_geometry_only,,2,1.0
210989_frame_000138,valid_geometry_only,,2,1.0
210994_frame_000000,valid_geometry_only,,2,1.0
210994_frame_000003,valid_geometry_only,,1,1.0
210994_frame_000006,valid_geometry_only,,1,1.0
210994_frame_000009,valid_geometry_only,,2,1.0
210994_frame_000012,valid_geometry_only,,2,1.0
210994_frame_000015,valid_geometry_only,,1,1.0
210994_frame_000018,valid_geometry_only,,2,1.0
210994_frame_000021,valid_geometry_only,,2,1.0
210994_frame_000024,valid_geometry_only,,2,1.0
210994_frame_000027,valid_geometry_only,,2,1.0
