target_index,target_time_seconds,source_frame_index,source_time_seconds,time_supported
0,0.0,0,0.0,True
1,0.1149425287356322,1,0.1966666666666666,True
2,0.2298850574712644,1,0.1966666666666666,True
3,0.3448275862068966,3,0.34,True
4,0.4597701149425288,4,0.455,True
5,0.574712643678161,5,0.6633333333333333,True
6,0.6896551724137931,5,0.6633333333333333,True
7,0.8045977011494253,7,0.7983333333333333,True
8,0.9195402298850576,8,0.915,True
9,1.0344827586206897,9,1.025,True
10,1.149425287356322,10,1.2516666666666667,True
11,1.264367816091954,10,1.2516666666666667,True
12,1.3793103448275863,11,1.3433333333333335,True
13,1.4942528735632186,13,1.4766666666666668,True
14,1.6091954022988506,14,1.6,True
15,1.7241379310344829,15,1.8066666666666669,True
16,1.8390804597701151,16,1.82,True
17,1.9540229885057472,17,1.9966666666666668,True
18,2.0689655172413794,18,2.0516666666666667,True
19,2.1839080459770117,19,2.271666666666667,True
20,2.298850574712644,20,2.285,True
21,2.4137931034482762,21,2.3866666666666667,True
22,2.528735632183908,22,2.5033333333333334,True
23,2.6436781609195403,23,2.62,True
24,2.7586206896551726,24,2.7883333333333336,True
25,2.873563218390805,25,2.8483333333333336,True
26,2.988505747126437,26,2.968333333333334,True
27,3.1034482758620694,27,3.0716666666666668,True
28,3.218390804597701,28,3.186666666666667,True
29,3.3333333333333335,29,3.393333333333333,True
30,3.4482758620689657,30,3.4533333333333336,True
31,3.563218390804598,31,3.5883333333333334,True
32,3.6781609195402303,32,3.716666666666667,True
33,3.7931034482758625,33,3.756666666666667,True
34,3.9080459770114944,34,3.971666666666667,True
35,4.022988505747127,35,4.0616666666666665,True
36,4.137931034482759,36,4.191666666666667,True
37,4.252873563218391,37,4.23,True
38,4.367816091954023,38,4.433333333333334,True
39,4.482758620689656,39,4.526666666666667,True
40,4.597701149425288,40,4.656666666666667,True
41,4.71264367816092,41,4.671666666666667,True
42,4.8275862068965525,42,4.883333333333334,True
43,4.942528735632185,43,4.898333333333333,True
44,5.057471264367816,44,5.006666666666667,True
45,5.172413793103448,45,5.178333333333334,True
46,5.287356321839081,46,5.243333333333334,True
47,5.402298850574713,47,5.455,True
48,5.517241379310345,48,5.468333333333334,True
49,5.6321839080459775,49,5.588333333333334,True
50,5.74712643678161,50,5.696666666666667,True
51,5.862068965517242,51,5.806666666666667,True
52,5.977011494252874,52,5.991666666666667,True
53,6.0919540229885065,53,6.051666666666667,True
54,6.206896551724139,54,6.15,True
55,6.321839080459771,55,6.271666666666667,True
56,6.436781609195402,56,6.378333333333334,True
57,6.551724137931035,57,6.586666666666667,True
58,6.666666666666667,58,6.616666666666667,True
59,6.781609195402299,59,6.721666666666667,True
60,6.8965517241379315,60,6.883333333333334,True
61,7.011494252873564,61,7.041666666666667,True
62,7.126436781609196,62,7.145000000000001,True
63,7.241379310344828,63,7.3066666666666675,True
64,7.356321839080461,64,7.378333333333334,True
65,7.471264367816093,65,7.506666666666667,True
66,7.586206896551725,66,7.631666666666667,True
67,7.701149425287357,67,7.741666666666667,True
68,7.816091954022989,68,7.838333333333334,True
